attraction_name,attraction_grade,attraction_heat,attraction_score,attraction_address,comments_total,positive_comments,after_consumption_comments,negative_comments,username,comment_score,comment_grade,comment_content,comment_time,user_ip
,,,,,,,,,E64****48,5.0,超棒,超级美丽 祖国山河的壮观！有丹霞地貌 有林海 有草原 有雪山 山下就是美丽的祁连小镇 ！值得一去！,2017-09-03,未知
,,,,,,,,,空桑空桑,5.0,超棒,大赞，需要多云的时候去，可以看到阴晴的变化,2017-09-03,未知
,,,,,,,,,M10****591,5.0,超棒,非常非常值回票价 非常好的景点,2017-09-03,未知
,,,,,,,,,lovesoul618,5.0,超棒,很快出票 挺好的 景色真的好看,2017-09-02,未知
,,,,,,,,,118****210,3.0,不错,风景不错 但是景区服务人员服务水平有待进一步提高,2017-09-02,未知
,,,,,,,,,_M13****1758,5.0,超棒,因为高反和体力原因，没有上帝，感觉，景色相当好,2017-09-02,未知
,,,,,,,,,110****425,5.0,超棒,卓尔山海拔2930米，可以看到牛心山和丹霞地貌，风景很好。还要买往返交通，只有很短一公里多，还是要步行爬山。携程门票,2017-09-01,未知
,,,,,,,,,M58****750,5.0,超棒,美丽的卓尔山，美丽的景，美丽的人,2017-09-01,未知
,,,,,,,,,奥林匹亚童话,5.0,超棒,卓尔山海拔较高，视野非常开阔，可远眺牛心山，俯瞰祁连县城，我们去的那天多云间晴，蓝天白云，青山草地，麦田丹霞，交相辉映，大地五彩斑斓，景色壮美，层次丰富，真是叹为观止，值得一游。,2017-08-31,未知
,,,,,,,,,_CFT01****9468759,5.0,超棒,虽然去的当天天气不是很好，但是还是很美,2017-08-31,未知
,,,,,,,,,kg1360,5.0,超棒,很好!有山有水，鸟语花香空气清新，蓝天白云绿草花海牛羊寺庙，人间天境不虚此游。,2017-08-31,未知
,,,,,,,,,136****5950,4.0,满意,景色秀美 遗憾的是景区貌似在修路 20元的观光车只能送游客到一个比较低矮的平台 风景不能尽览 想看到必须登高 往返也要一个半小时 对于腿脚不方便的人来说 有点遗憾,2017-08-31,未知
,,,,,,,,,_WeCh****90975,5.0,超棒,非常舒服的，干净整洁，停车方便,2017-08-31,未知
,,,,,,,,,柠檬变成柠檬水angel,5.0,超棒,很好 值得去 风景秀丽风光无限,2017-08-31,未知
,,,,,,,,,火星男111,4.0,满意,景区一般，要单收20元区间车费，不让私家车上去,2017-08-30,未知
,,,,,,,,,M23****0321,5.0,超棒,良心景区，非常好，强烈推荐大家！,2017-08-30,未知
,,,,,,,,,M23****5605,4.0,满意,景色超级美，而且空气很好，很适合拍照，但最近一直连绵雨水，可惜没有登上山顶,2017-08-30,未知
,,,,,,,,,elva,5.0,超棒,值得来的景点，人不多，进入景区必须买20元的观光车票,2017-08-29,未知
,,,,,,,,,231****660,5.0,超棒,卓尔山很美，不愧有东方小瑞士称号,2017-08-29,未知
,,,,,,,,,Joshuazhu,2.0,一般,这里最大的问题是四不像，雪山不明显，丹霞地貌也不明显，草原也不明显，但是吧，它混搭，什么都占点儿。门票太贵，还强制坐车，不值,2017-08-29,未知
,,,,,,,,,M60****474,5.0,超棒,很美的山脉！登上了烽火台，天气有点儿阴，不过我觉得很幸运，没有下雨，嘻嘻,2017-08-29,未知
,,,,,,,,,M23****0998,5.0,超棒,没碰上好天气，但也美得够够的了,2017-08-28,未知
,,,,,,,,,宋泰雅,5.0,超棒,景色真的很美，很值得一看，下次会再来！,2017-08-28,未知
,,,,,,,,,m07****72,5.0,超棒,美美的景色！我们拍合照拍到不行，好优雅大气的景点！,2017-08-28,未知
,,,,,,,,,--飞鱼--,5.0,超棒,景色怡人！大自然的美！！！！！,2017-08-28,未知
,,,,,,,,,M20****831,5.0,超棒,还是不错的，可以看到一点雪山。,2017-08-28,未知
,,,,,,,,,320****700,5.0,超棒,取票在团队窗口，即到即取，很方便，卓尔山的风景确实漂亮！,2017-08-27,未知
,,,,,,,,,筱筱17,5.0,超棒,网上购票有单独的取票窗口，凭手机短信直接取票，非常方便。,2017-08-27,未知
,,,,,,,,,186****6634,4.0,满意,雨天游览的卓尔山，别有一番味道，草地丹霞牛心山白云很漂亮,2017-08-27,未知
,,,,,,,,,西北小飞侠,5.0,超棒,景色很美 有机会还可以再来转转,2017-08-27,未知
,,,,,,,,,M23****0977,4.0,满意,景色很美，属于静美的那种，适合在山顶发发呆。从携程上购买比景区窗口要优惠。,2017-08-27,未知
,,,,,,,,,ruge0220,5.0,超棒,一个字“美”。头晚大雨下到早上十点，耐心的等待终于得到了回报。,2017-08-27,未知
,,,,,,,,,320****116,2.0,一般,很好玩，风景很美一定要去看看。,2017-08-27,未知
,,,,,,,,,_M13****2017,5.0,超棒,风景如画，7月最美，漫山遍野的花朵盛开在五颜六色的山峦之中！,2017-08-27,未知
,,,,,,,,,M14****561,5.0,超棒,网上订的票取票很方便，景色也不错,2017-08-27,未知
,,,,,,,,,阿骆,5.0,超棒,挺方便的 下次还会选择  速度挺快的,2017-08-26,未知
,,,,,,,,,156****6769,5.0,超棒,峰峦叠翠，色彩丰富，令人心旷神怡，不愧是东方小瑞士。,2017-08-26,未知
,,,,,,,,,e12****28,4.0,满意,整体感觉还可以，但是不值得单独来一次，现在天气也有些冷了！,2017-08-26,未知
,,,,,,,,,M97****03,5.0,超棒,卓尔山很美，一边是草原风景，一边是丹霞地貌，还能看到远处的雪山和牛心山，不错，就是摆渡车太坑了，一点点的路程就每人20，小孩子还必须买车票！这个不太好！一家人都玩的很开心,2017-08-26,未知
,,,,,,,,,M24****588,4.0,满意,挺好看的，就是下雨了，没有阳光，云也很多，晴天去应该最好看,2017-08-26,未知
,,,,,,,,,小雪snow,5.0,超棒,景致独特，绿山中裸露出红色的砾石，麦浪嫩草油菜花大色块相拼，360度大屏幕环绕风景，如临世外桃源,2017-08-26,未知
,,,,,,,,,M17****937,5.0,超棒,天气不是太好，但是真的不错，很美很美。,2017-08-25,未知
,,,,,,,,,小冤家的洗衣机,3.0,不错,卓尔山上去都是台阶，因为有点感冒不舒服，没爬到山顶，但也看到牛心山上的积雪,2017-08-25,未知
,,,,,,,,,至乐无限,4.0,满意,风景还是不错的，但由于之前自驾去了八一冰川，沿途风景美的不要不要的，所以到了卓尔山就感觉没必要进来了,2017-08-25,未知
,,,,,,,,,woyu****30206,5.0,超棒,美不胜收，让人流连忘返！要不是下雨会更美！,2017-08-25,未知
,,,,,,,,,_WeCh****91079,5.0,超棒,风景很美，丹霞地貌与青山良田的完美结合，不虚此行！,2017-08-25,未知
,,,,,,,,,159****0803,5.0,超棒,还是可以，可惜天公不作美，没有看见丹霞,2017-08-25,未知
,,,,,,,,,hell****cess,4.0,满意,买票不太合理，网上买的票没有自助取，排了散客队伍结果说取不了要去团队队伍取钱，旅行社各种插队没人管，景区里面很美很壮观，各种颜色缤纷多彩，空气清新。,2017-08-25,未知
,,,,,,,,,wz6****385,5.0,超棒,卓尔山是天然的观景台 周边的景色一览无余 景区大巴很坑 上观景台还要一顿距离 天气有些阴雨 没看清楚对面的牛心山有些遗憾 丹霞还是不错的 要看油菜花建议七月来 我八月中旬去已经看不到油菜花的踪影了,2017-08-25,未知
,,,,,,,,,U44658****094552,4.0,满意,门票不含车票，需在取票时另付20元每人的车票，只有3分钟车程！上下等车的时候很混乱，那么大的景点没有铁骑来维护排队的队伍，纯靠几个工作人在吼，在骂插队的游客，插队的游客有错，景区更错，山下有两个停车场，游客根本不知道哪条队伍是哪个停车场的，人山人海乱哄哄的，没有指引。当天晴空万里没有一朵白云，油菜花也没有了，没感觉有天境般的美景。,2017-08-25,未知
,,,,,,,,,110****730,5.0,超棒,很不错，取票也方便，但20的往返景区车就距离讲太贵。,2017-08-25,未知
,,,,,,,,,110****730,5.0,超棒,风景很美，边欣赏美景边爬栈道也不觉得太累，值得一去。,2017-08-25,未知
,,,,,,,,,M22****596,4.0,满意,不错，在窗口直接拿票了，很方便，卓尔山景色也很美,2017-08-25,未知
,,,,,,,,,王若岚,5.0,超棒,携程购票很方便，有优惠，景色很美,2017-08-25,未知
,,,,,,,,,i****eo,5.0,超棒,景色优美，很像瑞士小镇，绝对值得去,2017-08-25,未知
,,,,,,,,,天天天蓝365,5.0,超棒,天境祁连，卓尔不群。东方瑞士，名不虚传。,2017-08-24,未知
,,,,,,,,,龙之信,4.0,满意,门票60，车费20，感觉还是贵了！自然风光还是不错的！,2017-08-24,未知
,,,,,,,,,kslyer,5.0,超棒,比想象中好，虽然已经八月底了，色彩依然很鲜艳，丹霞也很漂亮。美中不足是牛心山没雪了,2017-08-24,未知
,,,,,,,,,M15****568,5.0,超棒,不愧为天境祁连，去的时候后雨后，晴天会更美,2017-08-24,未知
,,,,,,,,,139****5163,5.0,超棒,卓尔山风景很好，有点小瑞士风光，下次再来。,2017-08-24,未知
,,,,,,,,,320****134,5.0,超棒,风景很美，爬到山顶再下来最少要一个多小时！,2017-08-24,未知
,,,,,,,,,翱翔9588,5.0,超棒,卓尔山风景无限好，一生值得来的地方！,2017-08-24,未知
,,,,,,,,,shihai,5.0,超棒,景色迷人，值得一来，而且可以航拍，非常棒。,2017-08-24,未知
,,,,,,,,,miaoro,5.0,超棒,购买兑换方便 景色很美 值得一来,2017-08-24,未知
,,,,,,,,,M19****118,5.0,超棒,风景秀丽，值得一看，海拔较高，设施完善,2017-08-24,未知
,,,,,,,,,187****8306,5.0,超棒,携程买票很方便，免去排队麻烦，现场直接换票进景点,2017-08-23,未知
,,,,,,,,,M22****0499,4.0,满意,风景还是不错的。网上取票处不出售儿童票，需要再次排队。景区停车场不收费，还算可以。,2017-08-23,未知
,,,,,,,,,e09****96,5.0,超棒,景色很美，就是景区不大，要不了多少时间,2017-08-23,未知
,,,,,,,,,M30****106,5.0,超棒,油画一样的风景，简直美的没话说,2017-08-23,未知
,,,,,,,,,M23****9063,5.0,超棒,非常美丽 很值 非常值得去了 天气很好,2017-08-23,未知
,,,,,,,,,M25****811,5.0,超棒,3个小时可以转一圈，风景不错，就是很短一段区间车收费20有些贵！,2017-08-23,未知
,,,,,,,,,185****0066,5.0,超棒,很好，很方便！兑换和买票的在一个窗口！,2017-08-23,未知
,,,,,,,,,M22****7907,5.0,超棒,取票很方便，景色很美………………,2017-08-22,未知
,,,,,,,,,_WeCh****890723,5.0,超棒,携程订票方便快捷，关键还有优惠哦,2017-08-22,未知
,,,,,,,,,yang****n77,5.0,超棒,风景优美，大美祁连的代表性景点，值得光临！,2017-08-22,未知
,,,,,,,,,M23****6425,5.0,超棒,非常漂亮的地方，叠翠流金，层林尽染，青的燕麦，黄色的青稞，碧绿的草地，翠绿的山林，真是一幅美丽的画卷。,2017-08-22,未知
,,,,,,,,,136****5995,5.0,超棒,不错的景色，就是阴天，晴天会更好。,2017-08-22,未知
,,,,,,,,,M61****827,5.0,超棒,风景秀丽 云雾缭绕 太美了 值得来,2017-08-22,未知
,,,,,,,,,sunny5688,5.0,超棒,取票很方便，比现场购买便宜5元/张。还要再买20元区间车票才能入园。景色尚可，门票小贵。,2017-08-22,未知
,,,,,,,,,ouceci,5.0,超棒,取票方便，在景区售票出兑换就可以了。卓尔山非常漂亮值得一游，携程购票也很方便而且优惠。,2017-08-22,未知
,,,,,,,,,普拉亚德尔卡曼钟离昧,5.0,超棒,天境祁连东方小瑞士就是太远了一些,2017-08-21,未知
,,,,,,,,,Lemmon0535,5.0,超棒,景区建设的不错，阴天，没有看见蓝天白云，阴天景色也不错,2017-08-21,未知
,,,,,,,,,Cici,5.0,超棒,有点下雨，但是不影响我们游览的心情，风景美美滴，堪比瑞士境内的阿尔卑斯山,2017-08-21,未知
,,,,,,,,,_YX1****964,5.0,超棒,不愧东方小瑞士之称！值得一游。,2017-08-21,未知
,,,,,,,,,终极简单,2.0,一般,景色一般，人很多，60门票加20的摆渡车费很不值。,2017-08-20,未知
,,,,,,,,,bm****04,5.0,超棒,风景很美，一定要么爬到顶哦，有时间的话建议走完全程，非常值得，移步换景，就是游客太多多多。,2017-08-20,未知
,,,,,,,,,_WeCh****44210,5.0,超棒,景色非常美丽，要注意紫外线强，注意防晒！,2017-08-20,未知
,,,,,,,,,hu****yu1,5.0,超棒,美丽的卓尔山，祁连山脉的瑰丽风姿一览无遗,2017-08-20,未知
,,,,,,,,,hu****yu1,5.0,超棒,景区服务安排紧凑，专门的游览中巴负责接送游客上下山，管理人员很负责，叮嘱并检查所有人记好安全带。登山栈道也是上下路线分开，管理很科学，栈道蜿蜒绵长，一步一景，越高景色越好，登顶中速40分钟，顶部有个西夏的古烽火台，能够俯瞰祁连山脉和祁连县城，景色怡人，心情舒畅。5分景区，值得游览！,2017-08-20,未知
,,,,,,,,,300****413,5.0,超棒,这里的风景不错、山美人美、空气质量很好,2017-08-20,未知
,,,,,,,,,300****413,5.0,超棒,风景不错、欢迎大家过来看看、值得一游,2017-08-20,未知
,,,,,,,,,139****7537,5.0,超棒,很值得去，自驾车停在景区门口，换交通车进入景区，然后有大约一公里的栈道要自己爬，登上烽火台，俯瞰祁连县，眺望牛心山,2017-08-20,未知
,,,,,,,,,M23****5277,5.0,超棒,太美了！真的对得起“中国小瑞士”的称号！,2017-08-20,未知
,,,,,,,,,qingchaodi,4.0,满意,壮观，对于城里人来说，值得一到，可惜没没看到门票上的雪山，不知道是不是门票在糊弄人。,2017-08-20,未知
,,,,,,,,,320****446,5.0,超棒,美丽的高山草甸，很漂亮，值得一游。,2017-08-20,未知
,,,,,,,,,M39****802,3.0,不错,比较方面，但景点没什么好玩的。跟在山下差不多,2017-08-20,未知
,,,,,,,,,135****7487,5.0,超棒,网上预订比现场便宜每张五元，很实惠哦,2017-08-20,未知
,,,,,,,,,60****197,4.0,满意,山上景色很美，价格有点小贵，一般,2017-08-20,未知
,,,,,,,,,M02****15,4.0,满意,景色没话说 但是景区售票比较差 没有明确的指示网络售票窗口在哪里？问了几次才问到,2017-08-19,未知
,,,,,,,,,wait****ndy,5.0,超棒,不大，但是整体管理和布局都不错。风景也不错，主要游客也不多，感觉正好。下山碰上雷雨，也是一种不同的体验,2017-08-19,未知
,,,,,,,,,秦川骏马,5.0,超棒,门票费55元里是否包含景区内公交车票费没有明确说明，希望改进一下。,2017-08-19,未知
,,,,,,,,,当地的点点滴滴,5.0,超棒,取票还是很方便的，出票速度也很快，虽然优惠幅度不大.,2017-08-19,未知
,,,,,,,,,M23****1095,4.0,满意,风景是非常好的，但是景区的管理不太好，换票的时候前面有人吵架的，网上购票都需要和没买票的一样排很久的队，挺不合理的,2017-08-19,未知
,,,,,,,,,M21****116,5.0,超棒,挺美的景色，丹霞地貌，但是一座山80确实还是有点贵了，八月中旬，人很多。,2017-08-19,未知
,,,,,,,,,M21****116,5.0,超棒,挺美的景色，丹霞地貌，但是一座山80确实还是有点贵了，八月中旬，人很多。,2017-08-19,未知
,,,,,,,,,01****089,5.0,超棒,景区有中巴搭乘可以直接到山上，省去了爬山的劳苦。,2017-08-19,未知
,,,,,,,,,wennyfang,5.0,超棒,卓尔山有小瑞士之称，这里风景优美，草皮较厚，远望出去满眼绿色，令人心旷神怡。,2017-08-19,未知
,,,,,,,,,_U4****7062,5.0,超棒,人太多了，没有觉得有那么好。7月油菜花开的时候应该更有看头。,2017-08-19,未知
,,,,,,,,,xmy524,3.0,不错,还行吧！那个景区车有点坑，就3分钟还要20。,2017-08-19,未知
,,,,,,,,,E14****72,5.0,超棒,好，方便。卓尔山景色不错，推荐。,2017-08-19,未知
,,,,,,,,,M15****945,5.0,超棒,十分钟后可以用，还是挺方便，八月中已经没有油菜花了，依然被景色美到了,2017-08-19,未知
,,,,,,,,,小财迷爱旅游,5.0,超棒,望着满山的牛羊，青稞，远处的雪山。近处的丹霞地貌。景区栈道非常好，爬山很容易。山不高，登顶没有问题。,2017-08-19,未知
,,,,,,,,,_m13****8288,5.0,超棒,山不大，风景如画，能俯瞰山下风光，虽然是阴天，但是我们一早八点多上山，山间云雾缭绕，如梦似幻，别具一番滋味！全程大概游玩两个多小时！推荐,2017-08-19,未知
,,,,,,,,,M21****116,5.0,超棒,挺美的景色，丹霞地貌，但是一座山80确实还是有点贵了，八月中旬，人很多。,2017-08-19,未知
,,,,,,,,,M21****116,5.0,超棒,挺美的景色，丹霞地貌，但是一座山80确实还是有点贵了，八月中旬，人很多。,2017-08-19,未知
,,,,,,,,,01****089,5.0,超棒,景区有中巴搭乘可以直接到山上，省去了爬山的劳苦。,2017-08-19,未知
,,,,,,,,,wennyfang,5.0,超棒,卓尔山有小瑞士之称，这里风景优美，草皮较厚，远望出去满眼绿色，令人心旷神怡。,2017-08-19,未知
,,,,,,,,,_U4****7062,5.0,超棒,人太多了，没有觉得有那么好。7月油菜花开的时候应该更有看头。,2017-08-19,未知
,,,,,,,,,xmy524,3.0,不错,还行吧！那个景区车有点坑，就3分钟还要20。,2017-08-19,未知
,,,,,,,,,E14****72,5.0,超棒,好，方便。卓尔山景色不错，推荐。,2017-08-19,未知
,,,,,,,,,M15****945,5.0,超棒,十分钟后可以用，还是挺方便，八月中已经没有油菜花了，依然被景色美到了,2017-08-19,未知
,,,,,,,,,小财迷爱旅游,5.0,超棒,望着满山的牛羊，青稞，远处的雪山。近处的丹霞地貌。景区栈道非常好，爬山很容易。山不高，登顶没有问题。,2017-08-19,未知
,,,,,,,,,_m13****8288,5.0,超棒,山不大，风景如画，能俯瞰山下风光，虽然是阴天，但是我们一早八点多上山，山间云雾缭绕，如梦似幻，别具一番滋味！全程大概游玩两个多小时！推荐,2017-08-19,未知
,,,,,,,,,hegu****ctrip,3.0,不错,风景很美。但是景区管理太差了，从北门到山脚下，不超过五分钟的路程，每个人车票要20往返！连不到1米2的小孩都要买票，我家宝宝只有两岁！物价局都不查吗？！,2017-08-18,未知
,,,,,,,,,M24****071,4.0,满意,还好吧主要是风景景区。栈道不错不陡   ，走着不累,2017-08-18,未知
,,,,,,,,,320****872,5.0,超棒,旅游高峰期，但卓尔山人也可以接受，上山顶很容易，但要慢，因为海拔3000多，高处可能看到三种地貌，只是看不到雪山了。,2017-08-18,未知
,,,,,,,,,187****9037,5.0,超棒,非常好的风景 美丽的祁连山雪景,2017-08-18,未知
,,,,,,,,,109****283,5.0,超棒,大自然的风光，俯瞰祁连风景，遥望云中山峰,2017-08-18,未知
,,,,,,,,,laiyh2008,4.0,满意,主要是爬山看远景，来回2小时左右。远看红土地构成的大山，再加上绿色植被的点缀，甚是美丽；小草也分几种绿的，远远望去很有层次感。,2017-08-18,未知
,,,,,,,,,M22****3498,5.0,超棒,很不错，景色很美，值得一来。。,2017-08-18,未知
,,,,,,,,,甫sir,3.0,不错,评不上“天境”，景色一般，如没太阳或者下雨就奉劝大家就不要去了。,2017-08-17,未知
,,,,,,,,,M26****649,5.0,超棒,第一次过来祁连这里的卓尔山游玩，发现在携程上面买的门票很方便，到了景区很快就可以换得纸质门票，风景非常赞，门票也有优惠，感觉挺值的，给携程赞一个。,2017-08-17,未知
,,,,,,,,,139****3910,5.0,超棒,经典景点，没有失望这次旅行，以后有机会深度旅游,2017-08-17,未知
,,,,,,,,,233****935,4.0,满意,不错 只是突然下雨了没有玩尽兴 下次再来,2017-08-17,未知
,,,,,,,,,M11****556,5.0,超棒,美丽的卓尔山，手机拍不出来，一定带单反，雨后更美,2017-08-17,未知
,,,,,,,,,抻个团子🍡,4.0,满意,除了人就是人了……风景还是不错的,2017-08-17,未知
,,,,,,,,,M58****626,5.0,超棒,景色很美，最好八点开始游玩，云雾缭绕,2017-08-17,未知
,,,,,,,,,M29****686,5.0,超棒,很震撼！值得一逛！天气好的时候估计更美吧。,2017-08-17,未知
,,,,,,,,,爱苹果科学家,5.0,超棒,风景特别漂亮，心旷神怡，但是上面比较冷，注意多带衣服，而且票需要卖票口取，不是很方便。,2017-08-17,未知
,,,,,,,,,M62****49,4.0,满意,"景色优美，配套设施一般..,.",2017-08-17,未知
,,,,,,,,,M95****27,5.0,超棒,丹霞，草原，麦田相映成趣，值得一游。,2017-08-17,未知
,,,,,,,,,139****9144,5.0,超棒,值得去玩，风景确实漂亮，就是人比较多,2017-08-17,未知
,,,,,,,,,简zzz,4.0,满意,天公不作美 满天的乌云 天灰蒙蒙的。但是还是很美啊 跟小伙伴拍拍拍。期待下一次相遇。,2017-08-17,未知
,,,,,,,,,M11****187,1.0,不佳,还是给个好评吧，但是网购卓尔山的门票非常尴尬。首先说一下携程只能买的是门票，景区小车票20不能买。问题来了，卓尔山奇葩地方门票小车票一体的。不能单买。我因为现金没多少了，所以才在网上买。没想到，售票员把我二维码刷了后让我交现钱买小车票，不买小车票门票也不给我，我说我没有现金，刷微信行不，售票员说，非现金不可，让我自己去换，我说门票给我啊，他不理我，就是不给，好尴尬啊。最后没办法借了100买的。以后像我现金花完了指着网购买票进园的可要留心了。再说景区景色，真的很一般很一般，还80一张！！！！！！！！这不是逼我这文化人骂大街吗？,2017-08-16,未知
,,,,,,,,,186****6630,5.0,超棒,自然风景如画，还是很不错的，值得一去,2017-08-16,未知
,,,,,,,,,M22****8897,4.0,满意,不错！风景宜人！推荐一下吧，拍照好地方,2017-08-16,未知
,,,,,,,,,xiangprincess,5.0,超棒,很美！游览时上面看起来要下雨了，没有尽兴的游玩，有点遗憾。,2017-08-16,未知
,,,,,,,,,xiangprincess,5.0,超棒,高原上的丹霞地貌，很好，很美，很壮观。,2017-08-16,未知
,,,,,,,,,M34****585,5.0,超棒,卓尔山离小县城蛮近，风景不错适合摄影，不过早上去光线不太好，下午傍晚可能更好一些,2017-08-16,未知
,,,,,,,,,bm****04,5.0,超棒,原以为是片开放的风景区，到了门口才知道是要买门票的，携程可以定当天票还是很方便的，东方瑞士还真的挺漂亮，就是人多，人多，人多。需要做接驳车，20元一张，也没多少路。风景越往上走越有壮阔的美。,2017-08-16,未知
,,,,,,,,,M12****877,5.0,超棒,山上风景非常赞，但是车只给拉到四分之一处，要爬到最高处真是要累死，又缺氧，人又多！索性风景对得起辛苦！,2017-08-16,未知
,,,,,,,,,tclinny,5.0,超棒,山间白云飘飘，远处白雪皑皑，太美了～,2017-08-16,未知
,,,,,,,,,137****5346,5.0,超棒,卓尔山风景非常好，就是网络票取票窗口只有一个，取票比直接排队买慢多了。,2017-08-15,未知
,,,,,,,,,288****414,5.0,超棒,值得一去，路上风景更美，东方小瑞士,2017-08-15,未知
,,,,,,,,,M47****290,4.0,满意,还是不错的，因为没雪只是有云看不出来是小瑞士的感觉。,2017-08-15,未知
,,,,,,,,,M30****274,5.0,超棒,非常不错，风景如画，值得一玩。,2017-08-15,未知
,,,,,,,,,139****8262,5.0,超棒,的确名不虚传，推荐。可从张掖或西宁或刚察过去。非常适合度假，可住家庭旅馆。有兴趣可去八一冰川，在s215修好前，不要走从八一冰川到嘉峪关哪条路，不要走，不要走，很危险。,2017-08-15,未知
,,,,,,,,,xi****nma,5.0,超棒,总结要早出门，避开拥堵，早上7点不到到达山脚，享受漫步，下山时看到大部队已经纷纷到达。,2017-08-15,未知
,,,,,,,,,286****150,5.0,超棒,卓尔山真是太美了，随手拍都是景，完全不考验技术,2017-08-15,未知
,,,,,,,,,yzy06,5.0,超棒,祁连天境，卓而不凡，云山环绕，一步一景!,2017-08-15,未知
,,,,,,,,,,5.0,超棒,这里的景色确实是非常的美丽，非常壮观,2017-08-15,未知
,,,,,,,,,M23****2862,5.0,超棒,来卓尔山是看了朋友们发的照片感觉特别美，可是我们来的时间不对，错过了油菜花的开花期，所以稍有遗憾，以后建议大家要六月或者七月中旬来,2017-08-14,未知
,,,,,,,,,_WeCh****64894,5.0,超棒,景色非常非常漂亮……非常值得来！,2017-08-14,未知
,,,,,,,,,ta****r,5.0,超棒,景区规划好，山东人好像是免费的!,2017-08-14,未知
,,,,,,,,,erli7573,5.0,超棒,景色相当漂亮，价格适中！预定优惠比较大,2017-08-14,未知
,,,,,,,,,27****950,5.0,超棒,景色非常优美，不愧有东方瑞士之称！,2017-08-14,未知
,,,,,,,,,bay77,4.0,满意,下雨了，不过还可以风景。需要做付费中巴上去,2017-08-14,未知
,,,,,,,,,135****5380,5.0,超棒,景色挺好！值得一去，就是路程有点远,2017-08-14,未知
,,,,,,,,,lillianmi,5.0,超棒,很值得一去，非常美丽的景色，一定要登顶,2017-08-14,未知
,,,,,,,,,M00****22,5.0,超棒,卓尔山非常美，到景区时正赶上下雨，但在等大巴车上山时雨停了，还看到了彩虹。只是爬的有些累，最后爬到烽火台上等日落，很美。,2017-08-14,未知
,,,,,,,,,jshyjl,5.0,超棒,还不错、如果自驾，一路上的风景很美,2017-08-13,未知
,,,,,,,,,Jerry_Lian,5.0,超棒,我们到祁连县比较晚，问了住宿地方的姑娘，说卓尔山八点停止检票，九点关门，就七点去了景区，想着能拍个日落，可惜天公不作美，云层很厚，基本看不见日落的美景。不过倒是看到了其他的景色，比如小瑞士，草原，山丘，总体来说还是不错的。,2017-08-13,未知
,,,,,,,,,湘南雨,5.0,超棒,祁连县卓尔山风景实在太美了，好像置身画中！,2017-08-13,未知
,,,,,,,,,_WeCh****45871,5.0,超棒,干净，漂亮，美不胜收，还会再来,2017-08-13,未知
,,,,,,,,,118****447,2.0,一般,一般，觉得舞台剧总归受条件限制，赶不上印象系列这种实景演出的,2017-08-13,未知
,,,,,,,,,E28****94,4.0,满意,很一般的体验，反正回西宁，顺便去一趟吧,2017-08-13,未知
,,,,,,,,,M23****7995,4.0,满意,卓尔山旅游景区总体感觉不错。祁连天境环境很美。,2017-08-13,未知
,,,,,,,,,_WeCh****25926,4.0,满意,可能是玩得地方多了感觉门票不是很值得，但是景区消费不是很贵！,2017-08-13,未知
,,,,,,,,,M22****7422,4.0,满意,天气挺好喜欢爬山的游客推荐游玩,2017-08-13,未知
,,,,,,,,,laoyan,5.0,超棒,订票方便到窗口直接取票，风景真的很美，景区管理很规范，强烈推荐大家前往。,2017-08-13,未知
,,,,,,,,,m爱琪m,5.0,超棒,人多。不过风景很美我们就住在上山的必经之路，开窗就能看见山，当天晚上到的时候天气不是很好，山上还有云雾。一下雨后，对面的山头就变成了雪山顶。,2017-08-12,未知
,,,,,,,,,M23****656,5.0,超棒,风景很美，人也多。祁连机场修好后很适合度假,2017-08-12,未知
,,,,,,,,,汉代大将军,5.0,超棒,非常好！蓝天白云，空气清澈，没有任何污染！,2017-08-12,未知
,,,,,,,,,fiona的小世界,3.0,不错,还不错 山上的风景挺美的 就是有点冷,2017-08-12,未知
,,,,,,,,,M22****4384,5.0,超棒,风景非常好。八月份人有点多。景区内修了供游人行走的木道。还有公大巴车,2017-08-12,未知
,,,,,,,,,M10****621,5.0,超棒,换票快捷方便 换票时把景区交通一起买了,2017-08-12,未知
,,,,,,,,,柚子姑娘的柚子,5.0,超棒,比窗口买票便宜5块钱，而且有专门网络购票取票通道，非常快捷。卓尔山超级美，拍照后不用滤镜都像画儿一样，随手一拍就是绝美风景，不可错过的景点。,2017-08-12,未知
,,,,,,,,,_WeCh****77082,5.0,超棒,美，大美！因为去的时候赶上下雨了，雨后出现了大大的彩虹，真的很美！,2017-08-11,未知
,,,,,,,,,150****2000,2.0,一般,工作人员态度不咋地。不会再去了。,2017-08-11,未知
,,,,,,,,,Innercoool,4.0,满意,呼啸的风，茂盛的树林，卓尔山风景如画。千兵崖，烽火台，天境石，都是值得一看。,2017-08-11,未知
,,,,,,,,,M46****468,4.0,满意,人比较多，环境不错，不过没预想的好,2017-08-11,未知
,,,,,,,,,七月稀,3.0,不错,超多人，其实也没什么意思，拍照景色就不错,2017-08-11,未知
,,,,,,,,,瑞尔特,5.0,超棒,卓尔山网络订票非常方便当时就可以取票的！景区管理人员态度非常好,2017-08-11,未知
,,,,,,,,,fiona的小世界,3.0,不错,还不错 山上的风景挺美的 就是有点冷,2017-08-12,未知
,,,,,,,,,M22****4384,5.0,超棒,风景非常好。八月份人有点多。景区内修了供游人行走的木道。还有公大巴车,2017-08-12,未知
