username,comment_score,comment_grade,comment_content,comment_time,user_ip
205****681,1,不佳,景区进去后农夫山泉十元一瓶感觉在抢钱，第一次在景区买10元的农夫山泉，去一趟青海湖就感觉自己穷了，十元一瓶矿泉水让我本来就脆弱的钱包更加雪上加霜，难道景区就是这样抢钱的吗，我们是从广东来旅游，不是来当智障的,2023-10-05,陕西
钱数多多,2,一般,青海湖风景不错。,2023-10-04,山西
钱数多多,2,一般,青海湖很美！,2023-10-04,山西
_WeCh****379282,1,不佳,不要去，谁去谁后悔，不要花那个钱,2023-10-02,青海
M52****6965,1,不佳,买票时候告诉我含小火车 鞋套 来了之后只有门票,2023-10-02,青海
匿名用户,2,一般,真的不值得去，秉承着来都来了就去一趟吧，美丽的风景真的都在路上，来的路上遇到的景色比景区里好多了，景区里景色和服务都跟不上。,2023-10-01,辽宁
M96****10,1,不佳,联票是茶卡一号，不是茶卡盐湖的，太坑了,2023-10-01,青海
M37****9675,2,一般,划不着，真划不着，感觉很吭，进门后坐个小火车到点下车打个卡，没有什么耍的，也没什么看的，这个景点打造的门票收89太吭了，建议在外围打个卡就行了,2023-09-25,湖北
M50****4891,1,不佳,套路多，套票骗人,2023-09-23,青海
匿名用户,1,不佳,垃圾景区，千万别去，坑，就这还要收费，还没路边好看,2023-09-14,湖北
M47****4646,1,不佳,美丽的风景让你们圈起来，服务差，旅行体验超级不爽，希望有关部门治理下,2023-09-13,四川
二方方,1,不佳,上船之后没有位置，体验感极差。工作人员非常不友好，买了豪华游轮票结果说不让用，让退了买这个。结果这个上船后没有座位。真的很差劲的项目。,2023-09-13,陕西
M55****032,2,一般,这个景区不好看，路上的风景都值得了,2023-09-12,甘肃
M22****9909,2,一般,内容少，乐趣少，收费太高,2023-09-10,西藏
D10****438,1,不佳,不能部分退，差评！,2023-09-10,青海
M25****3640,2,一般,不值得去，刚在青海湖二郎剑景区出来，门票贵：原价90元，网购89元。坑摆渡车没必要，20元往返，下车点就是景区中心乘船码头，回程没坐，步行300米到景区出口。坑坑乘船游湖票贵，最低还要140元。景区内小吃贵贵贵，牦牛肉馅饼12元停车费贵的离谱，10：30——12：30，收费17元。青海湖名气值钱吧！景区真该改进改进，别让游客有被巨坑的感觉，好吗。必竟国家倡导诚实守信。,2023-09-07,青海
138****3692,2,一般,高价平景无特色。,2023-09-03,青海
M41****085,2,一般,忽悠人，买错票,2023-09-02,青海
_WeCh****523099,1,不佳,传说中的豪华游艇就是窗户玻璃特脏，完全不能拍照，想拍照还要上二楼再次消费，太坑人了，建议不要坐豪华游艇，体验感特差,2023-08-30,青海
匿名用户,2,一般,性价比很低，但是就是唯一性不可替代，景色很好但是景区管理吃相很难看，除了空气没有免费的，电动车明明有可以两个大人骑一个的就是不让租，必须一个大人租一个自行车，小小的景区60，很贵。不出意外再也不来了,2023-08-29,青海
匿名用户,1,不佳,...................,2023-08-27,青海
楼的天下,2,一般,青海湖二朗剑景区：一个非常拉垮不值当的5A级景点，对，就是把那个把青海湖围起来被网友骂上热搜的地方，本来我还想着既然圈起来收门票肯定是最美的一段青海湖，没想到还远不如路边风景漂亮，真好意思收这么贵的门票啊？因为走不动还花钱坐了车进去，5个人又被坑了一大笔钱……,2023-08-25,浙江
_WeCh****225097,2,一般,这么大的景区女士卫生间就四个蹲位，脏乱差，排队半小时起步，做的船很破旧，属于来了一次不想来第二次的地方，旅游局太拉垮了,2023-08-25,湖北
匿名用户,1,不佳,服务态度很差，,2023-08-20,甘肃
一言难尽666,2,一般,青海湖二郎剑景区是整个大环线最差的，景区很小，湖边很脏，就是逼你去乘坐船。强烈建议在湖边开车看看就可以了，没必要进去。讲真，不是因为陪没去过的朋友，我是真不去啊……停车费还要20来元，真的是够了…,2023-08-20,四川
匿名用户,1,不佳,太坑了，根本就不需要联票，好玩儿的地方太多了，根本玩儿不过来，青海湖旁边的沙滩就是免费的，可以直接脱鞋在湖边儿玩儿，坐船根本就不需要，就是多分钟，去青海湖上溜达了一圈，坐在船舱里，玻璃脏兮兮的，根本不出片，，茶卡一号跟天空之镜是两个地方，天空之镜景色要好看太多，一号盐湖玩儿的项目也就几个,2023-08-20,青海
_CFT****370,1,不佳,真是。。西北大环线上最差5a 都不如外面有油菜花看的青海湖边边,2023-08-19,四川
M44****8748,1,不佳,都是智商税  垃圾的很特别是坐船  来回要来票,2023-08-18,青海
M59****426,2,一般,没有值得推荐的游玩点，除了有几个石头排照。很不推荐花钱去的一个景区,2023-08-18,青海
182****1333,1,不佳,第一：拿海鸥吸引买小火车票。第二：景区管理人员极少，没有人维持秩序。第三：排队坐车没有人维持秩序。,2023-08-09,青海
182****1333,1,不佳,第一：拿海鸥吸引买小火车票。第二：景区管理人员极少，没有人维持秩序。第三：排队坐车没有人维持秩序。,2023-08-09,青海
匿名用户,1,不佳,没有提前说明没有骑马项目且收了骑马的费用,2023-08-08,青海
ps****y,2,一般,如果不坐游船，就不要花钱进景区。去的当天天气不好，游船不开，所以不知道游船会不会有惊喜。要看青海湖二郎剑附近的景色，去南山观景台。南山观景，现在不用去洛合垭口路边停车了，开了一个正式的南山观景台，目前还不收费，各种设施还在建设。停车场，观景台和栈道已经修好了，如果能爬1000级台阶的话，非常建议。如果不能爬这么高，二郎剑备用停车场再往南山上面去，有个饭店街，看湖也不错。如果要到湖边看看，黑马河过去的环湖西路上也有贴着湖边的观景台，免费很不错。二郎剑到江西沟的路上很美，虽然到不了湖边，但是合适的地方靠边停车拍拍照还是可以的。,2023-08-06,青海
懒鬼72,1,不佳,服务巨差，拨打投诉电话说是落实情况后回复，结果石沉大海。8月5日大冷的天，游轮不开了也不通知，让游客在外面冻了一个小时，去询问工作人员也不说话，装听不见,2023-08-06,甘肃
匿名用户,1,不佳,满心期待坐船去二郎剑，结果因为天气原因，说是风大，游轮取消了，结果什么都没有看到，门票一家白白花掉235元，说是门进去了，刷了就不能退了，真的太坑了，不会再来了！,2023-08-04,甘肃
李佩騎,1,不佳,青海湖一点都不好玩不推荐，茶卡盐湖可以，我建议报团就报小团直接去茶卡就行了青海湖远远看看就可以了，里边没意思。,2023-08-03,甘肃
M31****196,2,一般,可以换个入口 二郎剑路也堵 景区人超多,2023-08-02,青海
M31****196,2,一般,景色美 但人超级多 景区很堵 而且“封景区”是没办法近距离接近青海湖的 还不如路上拍拍照 或者找一些牧民带你去一些没封闭的地方看,2023-08-02,青海
Tony＿Wang,1,不佳,垃圾，不来遗憾 来了后悔，那么贵的门票里面配套设施和项目一点跟不上啊，你学学人家茶卡盐湖行吗，你就钻钱眼的,2023-08-02,甘肃
182****1333,1,不佳,第一：拿海鸥吸引买小火车票。第二：景区管理人员极少，没有人维持秩序。第三：排队坐车没有人维持秩序。,2023-08-09,青海
182****1333,1,不佳,第一：拿海鸥吸引买小火车票。第二：景区管理人员极少，没有人维持秩序。第三：排队坐车没有人维持秩序。,2023-08-09,青海
匿名用户,1,不佳,没有提前说明没有骑马项目且收了骑马的费用,2023-08-08,青海
ps****y,2,一般,如果不坐游船，就不要花钱进景区。去的当天天气不好，游船不开，所以不知道游船会不会有惊喜。要看青海湖二郎剑附近的景色，去南山观景台。南山观景，现在不用去洛合垭口路边停车了，开了一个正式的南山观景台，目前还不收费，各种设施还在建设。停车场，观景台和栈道已经修好了，如果能爬1000级台阶的话，非常建议。如果不能爬这么高，二郎剑备用停车场再往南山上面去，有个饭店街，看湖也不错。如果要到湖边看看，黑马河过去的环湖西路上也有贴着湖边的观景台，免费很不错。二郎剑到江西沟的路上很美，虽然到不了湖边，但是合适的地方靠边停车拍拍照还是可以的。,2023-08-06,青海
懒鬼72,1,不佳,服务巨差，拨打投诉电话说是落实情况后回复，结果石沉大海。8月5日大冷的天，游轮不开了也不通知，让游客在外面冻了一个小时，去询问工作人员也不说话，装听不见,2023-08-06,甘肃
匿名用户,1,不佳,满心期待坐船去二郎剑，结果因为天气原因，说是风大，游轮取消了，结果什么都没有看到，门票一家白白花掉235元，说是门进去了，刷了就不能退了，真的太坑了，不会再来了！,2023-08-04,甘肃
李佩騎,1,不佳,青海湖一点都不好玩不推荐，茶卡盐湖可以，我建议报团就报小团直接去茶卡就行了青海湖远远看看就可以了，里边没意思。,2023-08-03,甘肃
M31****196,2,一般,可以换个入口 二郎剑路也堵 景区人超多,2023-08-02,青海
M31****196,2,一般,景色美 但人超级多 景区很堵 而且“封景区”是没办法近距离接近青海湖的 还不如路上拍拍照 或者找一些牧民带你去一些没封闭的地方看,2023-08-02,青海
Tony＿Wang,1,不佳,垃圾，不来遗憾 来了后悔，那么贵的门票里面配套设施和项目一点跟不上啊，你学学人家茶卡盐湖行吗，你就钻钱眼的,2023-08-02,甘肃
匿名用户,1,不佳,太一般了，服务很差劲,2023-07-28,甘肃
M45****6615,2,一般,收费套路太深，去了一次不想再去第二次，害我浪费60元，最后还不能退,2023-07-28,青海
匿名用户,2,一般,个人感觉是青甘大环线上最差的景点，毫无特色可言，景区也没有太大建设，一个人60的门票定价过高，交通拥堵也没有人指挥，景区停车场也无人指挥，在里面找了半小时才找到车位，总而言之：差！,2023-07-27,贵州
M44****225,1,不佳,就是一个坑!,2023-07-26,青海
M22****700,1,不佳,购买门票需谨慎，无忧退购买的。购买完后，不能随时退换。有人临时有事去不了，还不给退票。垃圾软件，不好的消费经历。,2023-07-25,青海
皓哥1997,1,不佳,不好不好不好,2023-07-24,广西
M46****7198,1,不佳,在青海湖二郎剑景区购买的茶卡盐湖的套票，驱车两个多小时赶到茶卡盐湖景区时却说不能用！呼吁大家别再上当受骗了！,2023-07-23,甘肃
美少女她妈2018,1,不佳,史上最坑景区。只有一点点地方能下去湖边，没有油菜花。路边全封闭下不去，但是路边比景区漂亮太多！景区乱哄哄的，游船码头，快艇，水上自行车都集中在一起，不坐这些项目的，还是别进景区，租个自行车骑着沿湖玩玩最好了,2023-07-22,青海
M34****8118,1,不佳,观光车20，就那么一丢丢路，很坑人。,2023-07-22,陕西
M33****4377,1,不佳,你说得对，但是青海湖景区是由青海省旅游局自主研发的一个全新五星级景区。景区在一个被称为二郎剑的湖边，在这里，被导游选中的人将被授予门票。你将扮演一位名为游客得神秘冤种，在糟心的旅行中邂逅进不去的停车场，150一位的热气球，和其他游客一起失去金钱——同时，逐步发掘智商税的真相。,2023-07-22,青海
匿名用户,1,不佳,太一般了，服务很差劲,2023-07-28,甘肃
M45****6615,2,一般,收费套路太深，去了一次不想再去第二次，害我浪费60元，最后还不能退,2023-07-28,青海
匿名用户,2,一般,个人感觉是青甘大环线上最差的景点，毫无特色可言，景区也没有太大建设，一个人60的门票定价过高，交通拥堵也没有人指挥，景区停车场也无人指挥，在里面找了半小时才找到车位，总而言之：差！,2023-07-27,贵州
M44****225,1,不佳,就是一个坑!,2023-07-26,青海
M22****700,1,不佳,购买门票需谨慎，无忧退购买的。购买完后，不能随时退换。有人临时有事去不了，还不给退票。垃圾软件，不好的消费经历。,2023-07-25,青海
皓哥1997,1,不佳,不好不好不好,2023-07-24,广西
M46****7198,1,不佳,在青海湖二郎剑景区购买的茶卡盐湖的套票，驱车两个多小时赶到茶卡盐湖景区时却说不能用！呼吁大家别再上当受骗了！,2023-07-23,甘肃
美少女她妈2018,1,不佳,史上最坑景区。只有一点点地方能下去湖边，没有油菜花。路边全封闭下不去，但是路边比景区漂亮太多！景区乱哄哄的，游船码头，快艇，水上自行车都集中在一起，不坐这些项目的，还是别进景区，租个自行车骑着沿湖玩玩最好了,2023-07-22,青海
M34****8118,1,不佳,观光车20，就那么一丢丢路，很坑人。,2023-07-22,陕西
M33****4377,1,不佳,你说得对，但是青海湖景区是由青海省旅游局自主研发的一个全新五星级景区。景区在一个被称为二郎剑的湖边，在这里，被导游选中的人将被授予门票。你将扮演一位名为游客得神秘冤种，在糟心的旅行中邂逅进不去的停车场，150一位的热气球，和其他游客一起失去金钱——同时，逐步发掘智商税的真相。,2023-07-22,青海
_M15****0141,1,不佳,这个团太不合理了，早上6点出发，中午12.30到盐湖，刚进去就得出来，因为要赶时间去青海湖，青海湖也让人失望，还不如一个公园，建议小伙伴们盐湖一日游。地接一路上微信，挺烦的,2023-07-20,青海
M49****9464,2,一般,青海湖不来后悔，来就是了个心愿。游船1周岁以上就得买票，1.4米以上就得全票，学生票没有可能的。青海湖围起来是好的，只是规划不好，景区设计的不好，最主要的是贵，什么都贵。,2023-07-19,青海
M36****914,1,不佳,一个人门票90元，进去啥也没有，就几块青海湖石头，仅供拍照留念，商业化太浓，除门票外不花一百多块钱座轮船真不推荐来玩，景区内到处是售卖商户，而且价格高于市场价不少。,2023-07-18,青海
M48****5443,1,不佳,我买的410套票，进门口在我说是套票让工作人员看了的情况下，误导我走去坐船那里，坐船那里说打不出来票又让我走到进口，出来玩，就是投开心我都说算了，过来做小火车的这里凶的很，态度恶劣,2023-07-18,青海
M42****1948,1,不佳,入口一进门小火车等待区的检票工作人员态度恶劣、误导人多走一圈路！买的套票可以一进门就直接坐小火车到半岛然后坐游轮，结果误导我买了张观光票到码头，走到游轮边那边说必须先坐小火车，然后才能坐游轮。我们只能再次返回入口。在检票上小火车的时候，一最开始的那个工作人员在检票时说话语气恶劣，因为不知道检票的二维码在哪找，他就不耐烦的喊，说话也冲。不知道的还以为我们是没买票干蹭似的,2023-07-18,青海
_WeCh****535426,2,一般,一般，一般一般。,2023-07-17,湖南
m67****91,2,一般,沿途的青海湖风景比这都美！！！,2023-07-17,湖北
M25****5083,1,不佳,太坑了，停车场要自己到处找车，出来也没有人指挥，没有什么好玩的，就是坐船，,2023-07-16,青海
yy笑看人生,1,不佳,没有一点感觉,2023-07-13,陕西
M31****8544,2,一般,太坑了，啥都没有，以前还有花海，现在要吐槽的太多,2023-07-11,青海
139****5432,1,不佳,350公里长的青海湖环湖美景全部被借保护生态之名全面封闭，只剩下官方的景区，还有什么选择吗？明白人都知道的,2023-06-09,甘肃
蒙面真牛,1,不佳,感觉青海湖最插的地方就这了，弄个码头收船票钱，弄几块石头给大家照相，其他的还有什么？环青海湖那里不比这好，骑马有青青的牧场,2023-06-04,青海
XCLXC,1,不佳,浪费钱的景区千万别去，,2023-05-30,河南
蓦然始末,1,不佳,性价比很低,2023-05-28,青海
M15****081,1,不佳,整体比较坑，停车费太贵，景区门票太贵。,2023-05-24,广东
住宿只在意卫生,1,不佳,一个咸水湖，修个门楼也成景点 实在是想不通还这么多人去看，无非日后增加点吹牛皮的话题罢了。还搞个巨大的停车场，进景点一大截路，不坐电瓶车要走断脚，实在是差劲。沿湖公路100多公里湖景随你看。  从西宁走国道翻越拉脊山⛰️，沿途风景比青海湖景点美100倍都不止，一路上高山、冰川（零距离接触），蓝天白云，牛羊成群。,2023-05-09,内蒙古
不想翻身导致搁浅的大鲸鱼,2,一般,能去新疆就别来青海了,2023-05-09,广东
Greta0408,1,不佳,【景色】围栏离湖距离远，体验感很差，另现在码头在维修不能观景也不能轮船就是到此一走罢了，不推荐这个景区，还是以后包车或自驾游环游青海湖吧湖是好湖，但特意到景区就大可不必了,2023-04-22,甘肃
Serena颜色不一样的烟火,2,一般,景色真是美，服务真是差，闭园没广播通知，能从哪个门出没有标识，服了,2022-11-28,北京
陈可贰,2,一般,风景不错，但体验感真的差，游园设置基本都是荒废状态,2022-11-01,韩国
139****5432,1,不佳,350公里长的青海湖环湖美景全部被借保护生态之名全面封闭，只剩下官方的景区，还有什么选择吗？明白人都知道的,2023-06-09,甘肃
蒙面真牛,1,不佳,感觉青海湖最插的地方就这了，弄个码头收船票钱，弄几块石头给大家照相，其他的还有什么？环青海湖那里不比这好，骑马有青青的牧场,2023-06-04,青海
XCLXC,1,不佳,浪费钱的景区千万别去，,2023-05-30,河南
蓦然始末,1,不佳,性价比很低,2023-05-28,青海
M15****081,1,不佳,整体比较坑，停车费太贵，景区门票太贵。,2023-05-24,广东
住宿只在意卫生,1,不佳,一个咸水湖，修个门楼也成景点 实在是想不通还这么多人去看，无非日后增加点吹牛皮的话题罢了。还搞个巨大的停车场，进景点一大截路，不坐电瓶车要走断脚，实在是差劲。沿湖公路100多公里湖景随你看。  从西宁走国道翻越拉脊山⛰️，沿途风景比青海湖景点美100倍都不止，一路上高山、冰川（零距离接触），蓝天白云，牛羊成群。,2023-05-09,内蒙古
不想翻身导致搁浅的大鲸鱼,2,一般,能去新疆就别来青海了,2023-05-09,广东
Greta0408,1,不佳,【景色】围栏离湖距离远，体验感很差，另现在码头在维修不能观景也不能轮船就是到此一走罢了，不推荐这个景区，还是以后包车或自驾游环游青海湖吧湖是好湖，但特意到景区就大可不必了,2023-04-22,甘肃
Serena颜色不一样的烟火,2,一般,景色真是美，服务真是差，闭园没广播通知，能从哪个门出没有标识，服了,2022-11-28,北京
陈可贰,2,一般,风景不错，但体验感真的差，游园设置基本都是荒废状态,2022-11-01,韩国
陈可贰,2,一般,风景不错，但体验感真的差，游园设置基本都是荒废状态,2022-11-01,韩国
你爷爷说,1,不佳,不好玩，不好玩。,2022-08-15,广东
你爷爷说,1,不佳,去青海湖不建议去景区玩，一点都不好玩，还没有外面好玩，里面只有一个坐船的地方，其他的什么都没有。连油菜花都没有，太垃圾了。,2022-08-15,广东
你爷爷说,1,不佳,一路下来最坑的景点。花了钱坐了船，其实什么都没有看到，还不如不要进去，在外面拍拍花还好看一点。里面贵的要死，什么都不好看。,2022-08-15,广东
M31****2897,1,不佳,特别坑，两大一小，儿童1米2以下坐船还要买票，花了500块，忍了，大游轮只能在船舱，空调不开，差点热化，毫无体验感，还不如坐快艇刺激几分钟，爱拍照的到到下船点，风景特别好，有大海的感觉，这是青海湖唯一可夸的一个地方，总体来说，体验感极差,2022-08-14,青海
M44****062,1,不佳,非常不值得去，景色很一般，门票太贵了，里面全是需要二次消费的东西，价格还很贵，不建议去，沿途来的路上找个藏民老乡，花20元玩的比他这个景区好,2022-08-12,青海
别人笑我太疯癫696,1,不佳,垃圾景区，帮朋友买的门票，到了景区因为没带身份证，景区不让进。然后重新在窗口买的门票进的景区。在携程操作了退票，结果等了一天，给发的短信说已经使用。去了一次青海湖买了2次门票。奇葩垃圾景区。真的是想钱想疯了，一直用携程，这样的景区第一次遇到。,2022-08-09,青海
M39****992,2,一般,景区内的服务员态度不好，这么贵的票价，坐船还要买门票，其实可以考虑坐船和门票分开，进入景区不坐小火车的话，连路都不好好指一下，害我们走去坐船里绕了一大圈。电瓶车还不能买单程，只能买双程。,2022-08-06,青海
带着蛮娃去旅游,1,不佳,垃圾 大家千万别坐 全程在船舱里 无聊至极,2022-08-05,陕西
M61****781,1,不佳,真的没意思来…景区门票又贵…坐船小火车票价也贵…就一个湖而已…凭什么收那么贵…而且还有很多蚊子…景区还给每个游客促销什么演艺表演等等…,2022-08-02,青海
_ucwe****096638,1,不佳,花90大元看几栋旧厂房！,2021-08-05,未知
M15****345,1,不佳,"景区很小，就是一个小公园。骑自行车不到十分钟就转一圈，里面沿湖甬道上全都收费拍照，本来地方就小，还占去了很大的甬道单独收费，让人气愤。到处收费照相30一张只要底片50一张，骑自行车60，做热气球150,那么大的青海湖，景区小的可怜。千万不要做小火车，实在没必要。全是人为景物，这门票这么多钱，一点也不值。去周围老农自己家种的花园看看，也能到水边，收费还低，也能拍照，山水油菜花海都能拍，比景区强多了。",2021-08-04,未知
海波海波,2,一般,三年前和现在几乎没啥区别，没有进步就是退步,2021-08-01,未知
M21****987,1,不佳,云里雾里    不知道景区让看啥。,2021-07-31,未知
118****255,1,不佳,风景很美，景点管理一般，不建议大家去二郎剑。青海湖边有很多从路边可以开车下去。风景更美。,2021-07-29,未知
_ZFB****80088,1,不佳,景区太差了，青海湖是免费的，二郎剑没必要去，一点都不好看,2021-07-26,未知
WTTXS,1,不佳,沿湖才是最好的观景，停个车一个多小时收15，你们是想钱想疯了吧？一路走甘肃，新疆，就你们一家景区收停车费，手就算了，你咋不收100元一次呢，还凑个整数。,2021-07-25,未知
WTTXS,1,不佳,看青海湖可以不用来景区,2021-07-25,未知
WTTXS,1,不佳,不建议选择,2021-07-25,未知
_WeCh****357451,1,不佳,又一个心里的白月光陨落了,2021-07-24,未知
Lk19840608,2,一般,如果坐过船的就没必要买了 就坐船玩,2021-07-22,未知
M29****119,1,不佳,门票84，停车15，游览电瓶车20，完全不值这个价格，人很多，只有一个码头可以游览，景色也没有胜于其他地方，总之花着些钱进这个景区不划算，还不如在路边找一个那种油菜花田可以到湖边的那种,2021-07-17,未知
_WeCh****99707,2,一般,门票90，电瓶车20，不太值得去，沿途门口农户的油菜花景色更好,2021-07-14,未知
b****,2,一般,西部所有景点里这是最坑的一个，门票89，还不包含景区车，进去一切娱乐设施，都还需要再付钱，本来青海湖就是公共资源，原以为这么高的门票，可能包含景区车，及一些基础娱乐项目。建议只是想看看湖的就不要花这个冤枉钱了。,2021-07-05,未知
Atomato,1,不佳,青海第一站，说实话失望透顶，一路的人造景观实在不值得一游，开车环湖会比这个景点更好，自由行的话不推荐了。,2021-07-03,未知
M17****023,2,一般,景点以收费为目的（门票 观光车 停车费），收费极不合理！不推荐！性价比低，可玩性低，景色一般，！,2021-06-15,未知
山水大师,2,一般,可玩性低，景色一般，性价比低，有待改进，,2021-06-08,未知
139****9738,1,不佳,各种套路搞钱，景区什么都没有、基本上也就是不在乎有没有回头客的样子、大部分是旅游团、希望散客不要花冤枉钱进来、进来后的各种消费也是套路加坑爹！,2021-05-30,未知
_WeCh****65248,1,不佳,真的没意思，很小一点点，就是看个青海湖，89真的不直，在座个观光车可玩性低，,2021-05-08,未知
M46****8267,2,一般,景色一般，可玩性低，性价比低，真的没啥玩头，景色也不咋地～船票贵到要死180一个人，疯掉了，不坐船光门票进去啥都没有,2021-05-04,未知
_WeCh****65594,1,不佳,**景区，没啥看头，工作人员态度还不好，,2021-04-29,未知
137****1201,2,一般,不推荐去。不知道有什么看头，要看青海湖有很多地方都可以去到湖边看。最大价值就是在那里打卡拍照，还是很多人在排队拍照。,2021-04-21,未知
M10****161,2,一般,还不如路边上去湖边看到的景色漂亮,2021-02-18,未知
M18****972,2,一般,不值得进这个所谓官方的景区，人多车多，体验感差，其实不如边上20块私人的地方，景色是一样的，便宜趣味性高，景区里啥都收费,2020-12-08,未知
思蓝是南,1,不佳,景色一般，性价比低，有待改进，可玩性低，这个景区也就是收费人员多的要死，整个青海的旅游业仍然遥遥落后于中国和世界主要地区，名气很大，但是去了让人非常失望。,2020-12-06,未知
M54****941,1,不佳,可玩性低，景色一般，性价比低，有待改进，,2020-11-30,未知
M54****941,1,不佳,有待改进，可玩性低，景色一般，性价比低，,2020-11-30,未知
M54****941,1,不佳,可玩性低，景色一般，,2020-11-30,未知
M44****626,1,不佳,一圈下来最没意思的景区可玩性低，性价比低，,2020-11-08,未知
M27****863,2,一般,进去就是步行看了看湖拍了点照片，和景区外面的差不多。,2020-10-26,未知
M26****3148,2,一般,如果不是为了坐游轮进到湖内完全可以忽略的一个景区。景区主体为入口到码头然后回来的一个2.5km左右的圈，途中湖边各种人工建筑物，西边是延伸至湖中的陆地，想拍一张没有杂质的水平面风景照位置和角度非常有限。吐槽归吐槽因为景区在湖南侧如果非要去打卡中午时段拍出来的照片光线最好。个人认为如果计划去黑马河看日出的话可以头天下午去日出点拍照，风景纯净还免费。,2020-10-24,未知
M32****5491,2,一般,有点坑，里面没啥,2020-10-24,未知
BuleLilyDou,2,一般,景区还在建设 就一个湖边 路边10块钱的花海随便拍照不香吗 有待改进，景色一般，性价比低，可玩性低，,2020-10-24,未知
_CFT****7482,2,一般,里面除了靠近湖之外，什么都没有了，太坑了吧。在景区外面沿路还能看到油菜花，景区里面就一条栈道，还有一个游船码头，几块青海湖的石头，就没了。这景区也太坑了吧性价比低，可玩性低，体验不佳，,2020-10-19,未知
Melssonyang,2,一般,此景区就是个鸡肋产品,2020-10-16,未知
_WeCh****202786,1,不佳,景色一般，体验不佳，,2020-10-15,未知
大燕云铮,1,不佳,不怎么样导游景点内都没进去，景色一般，人多，主要是真没什么游玩的，旅游车也不能充电和套餐描述的不一样总体来说一般般中的一般般,2020-10-10,未知
233****107,2,一般,二郎剑景区不值得去，就是把青海湖圈了一点，开上游船，游船也巨贵，200块15分钟。还不如开车环湖一周，很多地方都可以下来游玩，而而且只要10块钱,2020-10-10,未知
233****107,2,一般,二郎剑景区不值得去，就是把青海湖圈了一点，开上游船，游船也巨贵，200块15分钟。还不如开车环湖一周，很多地方都可以下来游玩,2020-10-10,未知
fal3,1,不佳,一定不要购票去二郎剑景区！不值得！不值得！不值得！场外路边的景色更香！从东到西到达景区之前的景色完爆被圈出来的部分，千万别买票入场！贵得莫名其妙,2020-10-09,未知
M26****3148,2,一般,如果不是为了坐游轮进到湖内完全可以忽略的一个景区。景区主体为入口到码头然后回来的一个2.5km左右的圈，途中湖边各种人工建筑物，西边是延伸至湖中的陆地，想拍一张没有杂质的水平面风景照位置和角度非常有限。吐槽归吐槽因为景区在湖南侧如果非要去打卡中午时段拍出来的照片光线最好。个人认为如果计划去黑马河看日出的话可以头天下午去日出点拍照，风景纯净还免费。,2020-10-24,未知
M32****5491,2,一般,有点坑，里面没啥,2020-10-24,未知
BuleLilyDou,2,一般,景区还在建设 就一个湖边 路边10块钱的花海随便拍照不香吗 有待改进，景色一般，性价比低，可玩性低，,2020-10-24,未知
_CFT****7482,2,一般,里面除了靠近湖之外，什么都没有了，太坑了吧。在景区外面沿路还能看到油菜花，景区里面就一条栈道，还有一个游船码头，几块青海湖的石头，就没了。这景区也太坑了吧性价比低，可玩性低，体验不佳，,2020-10-19,未知
Melssonyang,2,一般,此景区就是个鸡肋产品,2020-10-16,未知
_WeCh****202786,1,不佳,景色一般，体验不佳，,2020-10-15,未知
大燕云铮,1,不佳,不怎么样导游景点内都没进去，景色一般，人多，主要是真没什么游玩的，旅游车也不能充电和套餐描述的不一样总体来说一般般中的一般般,2020-10-10,未知
233****107,2,一般,二郎剑景区不值得去，就是把青海湖圈了一点，开上游船，游船也巨贵，200块15分钟。还不如开车环湖一周，很多地方都可以下来游玩，而而且只要10块钱,2020-10-10,未知
233****107,2,一般,二郎剑景区不值得去，就是把青海湖圈了一点，开上游船，游船也巨贵，200块15分钟。还不如开车环湖一周，很多地方都可以下来游玩,2020-10-10,未知
fal3,1,不佳,一定不要购票去二郎剑景区！不值得！不值得！不值得！场外路边的景色更香！从东到西到达景区之前的景色完爆被圈出来的部分，千万别买票入场！贵得莫名其妙,2020-10-09,未知
M51****152,1,不佳,没必要去，不值得票价可玩性低，景色一般，体验不佳，性价比低，,2020-10-08,未知
M23****2377,1,不佳,青海湖风景真的美，但美的风景都在路上。这个二郎剑景区搞的破破烂烂还5A，真的大跌眼镜非常失望。核心景区很小很小，观光车或自行车15分钟就结束了，游轮要再收费，整个景区仿佛就是来骗钱的，感受就是俩字：就这？？？幸好不是青甘环线第一站，不然真的会降低对整个环线的期待。建议大家在路上看看青海湖的风景就行了，这个景区真的真的避雷吧。【景色】青海湖美美美【趣味】无【性价比】低,2020-10-07,未知
320****000,2,一般,个人觉得不值90元门票 风景还没有路上的好 游船太贵了,2020-10-07,未知
毛毛虫缺铁,1,不佳,什么都看不到，如果要去二郎剑还要购买船票！,2020-10-05,未知
hanneke,2,一般,意思不大 个人认为可以不去 本次和朋友自驾 路上更漂亮的地方多了去了 而且原生态,2020-10-02,未知
M23****3441,1,不佳,千万别来。周边开车随便任何地点都能看青海湖。买了5张票再景区逛了十五分钟走了。白白浪费时间和金钱。在出景区的路上表示太愤怒了。,2020-10-01,未知
M26****2173,1,不佳,体验不佳，可玩性低，景色一般，性价比低，,2020-09-30,未知
M26****2173,1,不佳,性价比低，体验不佳，景色一般，可玩性低，,2020-09-30,未知
